Date,USDEUR,JPYUSD,USDGBP,CADUSD,CHFUSD
1999-01-04,1.1812,112.15,1.6581,1.5268,1.3666
1999-01-05,1.176,111.15,1.6566,1.5213,1.3694
1999-01-06,1.1636,112.78,1.6547,1.511,1.3852
1999-01-07,1.1672,111.69,1.6495,1.5117,1.3863
1999-01-08,1.1554,111.52,1.6405,1.5145,1.397
1999-01-11,1.1534,108.83,1.6375,1.5072,1.3963
1999-01-12,1.1548,112.07,1.6308,1.5095,1.389
1999-01-13,1.1698,113.46,1.6493,1.53,1.3585
1999-01-14,1.1689,113.25,1.653,1.5285,1.3618
1999-01-15,1.1591,114.19,1.65,1.529,1.3785
1999-01-19,1.161,113.76,1.655,1.5302,1.3752
1999-01-20,1.1575,113.45,1.6467,1.5226,1.3902
1999-01-21,1.1577,113.75,1.6516,1.5155,1.3855
1999-01-22,1.1582,114.65,1.656,1.519,1.3829
1999-01-25,1.1566,113.8,1.6563,1.5153,1.3823
1999-01-26,1.1577,114.03,1.6585,1.52,1.387
1999-01-27,1.1481,115.62,1.6485,1.5215,1.4012
1999-01-28,1.1395,116.36,1.647,1.5263,1.4165
1999-01-29,1.1371,116.0,1.6457,1.5095,1.4168
1999-02-01,1.1303,115.09,1.641,1.5085,1.4232
1999-02-02,1.1328,112.12,1.643,1.5124,1.4111
1999-02-03,1.1339,112.46,1.6375,1.5135,1.4135
1999-02-04,1.1306,112.03,1.6395,1.493,1.417
1999-02-05,1.1283,113.14,1.637,1.488,1.4173
1999-02-08,1.1296,114.38,1.638,1.4875,1.4175
1999-02-09,1.13,114.42,1.6355,1.4935,1.4183
1999-02-10,1.1331,114.45,1.629,1.4943,1.4083
1999-02-11,1.1303,114.7,1.6244,1.4889,1.4154
1999-02-12,1.1282,114.32,1.6311,1.4925,1.4157
1999-02-16,1.1189,118.08,1.6317,1.5,1.429
1999-02-17,1.123,119.03,1.6338,1.4995,1.4247
1999-02-18,1.1223,119.82,1.6338,1.4873,1.425
1999-02-19,1.1075,121.0,1.6255,1.4905,1.4462
1999-02-22,1.1037,120.35,1.6238,1.4972,1.4483
1999-02-23,1.0993,121.45,1.6138,1.4975,1.4495
1999-02-24,1.0972,121.9,1.598,1.499,1.452
1999-02-25,1.1068,119.26,1.606,1.505,1.4345
1999-02-26,1.0995,118.7,1.6027,1.509,1.4495
1999-03-01,1.0891,119.79,1.6058,1.524,1.462
1999-03-02,1.0931,120.47,1.6135,1.52,1.4582
1999-03-03,1.0888,121.68,1.6134,1.5268,1.461
1999-03-04,1.0824,123.5,1.6065,1.5255,1.47
1999-03-05,1.0843,122.57,1.6073,1.5167,1.4686
1999-03-08,1.0899,121.73,1.6085,1.5145,1.4612
1999-03-09,1.0873,121.4,1.6148,1.5169,1.4675
1999-03-10,1.0961,119.84,1.6267,1.524,1.4566
1999-03-11,1.0932,119.57,1.627,1.522,1.4685
1999-03-12,1.0936,118.99,1.6335,1.5235,1.4608
1999-03-15,1.093,117.7,1.6223,1.5286,1.466
